course_id,title,url,provider_name,difficulty,duration,price_type,certificate_available,credential_type,data_quality_score,language,category,provider_id
DB001,SQL for Data Analysis,https://www.udemy.com,Udemy,beginner,12 hours,paid,1,Certificate,0.85,en,Curated,P02
DB002,Advanced SQL & Database,https://www.coursera.org,Coursera,intermediate,20 hours,paid,1,Certificate,0.85,en,Curated,P01
DB003,SQL for Data Engineering,https://www.datacamp.com,DataCamp,advanced,16 hours,paid,1,Certificate,0.85,en,Curated,P04
DB004,Excel Skills for Business,https://www.coursera.org,Coursera,beginner,20 hours,paid,1,Certificate,0.85,en,Curated,P01
DB005,Data Visualization Mastery,https://www.tableau.com/learn,Tableau Learning,beginner,8 hours,paid,1,Certificate,0.85,en,Curated,P33
DB006,PowerBI for Business,https://learn.microsoft.com,Microsoft Learn,intermediate,12 hours,paid,1,Certificate,0.85,en,Curated,P07
DB007,Python for Everybody,https://www.coursera.org,Coursera,beginner,25 hours,paid,1,Certificate,0.85,en,Curated,P01
DB008,Python & R for Data Science,https://www.datacamp.com,DataCamp,intermediate,30 hours,paid,1,Certificate,0.85,en,Curated,P04
DB009,Data Wrangling with Pandas,https://www.datacamp.com,DataCamp,intermediate,6 hours,paid,1,Certificate,0.85,en,Curated,P04
DB010,Logical Reasoning Fundamentals,https://www.coursera.org,Coursera,beginner,6 hours,paid,1,Certificate,0.85,en,Curated,P01
DB011,Machine Learning by Stanford,https://www.coursera.org,Coursera,intermediate,55 hours,paid,1,Certificate,0.85,en,Curated,P01
DB012,Deep Learning Specialization,https://www.coursera.org,Coursera,advanced,3 months,paid,1,Certificate,0.85,en,Curated,P01
DB013,NLP Fundamentals,https://huggingface.co/learn,Hugging Face,intermediate,15 hours,free,0,,0.85,en,Curated,P13
DB014,Computer Vision Bootcamp,https://opencv.org/university,OpenCV University,advanced,18 hours,paid,1,Certificate,0.85,en,Curated,P18
CC001,SQL for Data Analysis,https://www.udemy.com/course/sql-for-data-analysis,Udemy,intermediate,4 Hrs,paid,1,Certificate,1.0,en,Curated,P02
CC002,Excel Skills for Business,https://www.coursera.org/specializations/excel-skills-for-business,Coursera,intermediate,3 Hrs,paid,1,Certificate,1.0,en,Curated,P01
CC003,PowerBI Complete Roadmap,https://www.udemy.com/course/microsoft-power-bi-desktop-for-business-intelligence,Udemy,intermediate,5 Hrs,paid,1,Certificate,1.0,en,Curated,P02
CC004,Data Visualization with Tableau,https://www.coursera.org/learn/data-visualization-tableau,Coursera,intermediate,4 Hrs,paid,1,Certificate,1.0,en,Curated,P01
CC005,Python for Everybody,https://www.coursera.org/specializations/python,Coursera,intermediate,6 Hrs,paid,1,Certificate,1.0,en,Curated,P01
CC006,Data Wrangling with Pandas,https://www.datacamp.com/courses/data-wrangling-with-pandas,DataCamp,intermediate,3 Hrs,paid,1,Certificate,1.0,en,Curated,P04
CC007,Machine Learning by Stanford (Andrew Ng),https://www.coursera.org/learn/machine-learning,Coursera,intermediate,12 Hrs,paid,1,Certificate,1.0,en,Curated,P01
CC008,Deep Learning Specialization,https://www.coursera.org/specializations/deep-learning,Coursera,advanced,15 Hrs,paid,1,Certificate,1.0,en,Curated,P01
CC009,TensorFlow Developer Certificate,https://www.tensorflow.org/learn,TensorFlow,intermediate,10 Hrs,free,0,,1.0,en,Curated,P17
CC010,Computer Vision & NLP Bootcamp,https://www.udemy.com/course/computer-vision-python,Udemy,intermediate,8 Hrs,paid,1,Certificate,1.0,en,Curated,P02
CC011,NLP with Transformers (Hugging Face),https://huggingface.co/learn/nlp-course,Hugging Face,intermediate,6 Hrs,free,0,,1.0,en,Curated,P13
CC012,AWS/GCP Cloud Fundamentals,https://aws.amazon.com/certification/certified-solutions-architect-associate,AWS Training & Certification,intermediate,8 Hrs,paid,1,Certificate,1.0,en,Curated,P06
CC013,Cloud Data Engineering,https://cloud.google.com/certification/data-engineer,Google Cloud Skills Boost,intermediate,10 Hrs,paid,1,Certificate,1.0,en,Curated,P05
CC014,Apache Spark for Data Engineering,https://www.databricks.com/learn,Databricks Academy,intermediate,6 Hrs,paid,1,Certificate,1.0,en,Curated,P15
CC015,Building RAG Applications with LLMs,https://www.deeplearning.ai/courses/building-and-evaluating-rag-systems/,DeepLearning.AI,intermediate,4 Hrs,paid,1,Certificate,1.0,en,Curated,P16
CC016,MLOps Specialization,https://www.coursera.org/specializations/mlops-machine-learning-duke,Coursera,intermediate,8 Hrs,paid,1,Certificate,1.0,en,Curated,P01
