course_id,normalized_skill_name,skill_type,confidence_score,extraction_method
DB005,Data Visualization (Tableau/PowerBI),technical,0.9,manual
DB006,Business Intelligence Tools,technical,0.9,manual
DB010,Logical Reasoning,analytical,0.9,manual
DB011,Machine Learning Algorithms,technical,0.9,manual
DB012,Deep Learning Frameworks,technical,0.9,manual
DB012,Deep Learning (TensorFlow/PyTorch),technical,0.9,manual
DB014,Computer Vision,technical,0.9,manual
CC001,SQL & Database Management,technical,0.95,manual
CC001,SQL & Database Systems,technical,0.95,manual
CC001,Advanced SQL & ETL,technical,0.95,manual
CC002,Excel & Spreadsheets,technical,0.95,manual
CC003,Data Visualization (Tableau/PowerBI),technical,0.95,manual
CC003,Business Intelligence Tools,technical,0.95,manual
CC004,Data Visualization (Tableau/PowerBI),technical,0.95,manual
CC004,Business Intelligence Tools,technical,0.95,manual
CC005,Python for Analytics,technical,0.95,manual
CC006,Data Wrangling & Cleaning,technical,0.95,manual
CC007,Machine Learning Algorithms,technical,0.95,manual
CC008,Deep Learning Frameworks,technical,0.95,manual
CC008,Deep Learning (TensorFlow/PyTorch),technical,0.95,manual
CC009,Deep Learning (TensorFlow/PyTorch),technical,0.95,manual
CC010,Computer Vision,technical,0.95,manual
CC010,Natural Language Processing,technical,0.95,manual
CC011,Natural Language Processing,technical,0.95,manual
CC012,Cloud Platforms (AWS/GCP/Azure),technical,0.95,manual
CC013,Cloud Platforms (AWS/GCP/Azure),technical,0.95,manual
CC014,Python & Spark,technical,0.95,manual
CC014,Big Data Technologies,technical,0.95,manual
CC015,Large Language Models & RAG,technical,0.95,manual
CC016,MLOps & Model Deployment,technical,0.95,manual
CC017,Version Control & Git,technical,0.95,manual
CC018,Containerization & DevOps,technical,0.95,manual
CC019,System Design Basics,analytical,0.95,manual
CC019,System Design & Architecture,analytical,0.95,manual
CC020,Data Structures & Algorithms,technical,0.95,manual
CC020,Problem Solving & Logic,analytical,0.95,manual
CC021,Logical Reasoning,analytical,0.95,manual
CC022,Quantitative Analysis,analytical,0.95,manual
CC023,Problem Solving & Logic,analytical,0.95,manual
SK0001,SQL & Database Management,technical,0.85,generated
SK0002,SQL & Database Management,technical,0.85,generated
SK0003,Excel & Spreadsheets,technical,0.85,generated
SK0004,Excel & Spreadsheets,technical,0.85,generated
SK0005,Data Visualization (Tableau/PowerBI),technical,0.85,generated
SK0006,Data Visualization (Tableau/PowerBI),technical,0.85,generated
SK0007,Python for Analytics,technical,0.85,generated
SK0008,Python for Analytics,technical,0.85,generated
SK0009,Logical Reasoning,analytical,0.85,generated
SK0010,Logical Reasoning,analytical,0.85,generated
SK0011,Quantitative Analysis,analytical,0.85,generated
