mapping_id,role_id,course_id,relevance_score,required_or_optional
1,AI01,SK0037,90.0,required
2,AI01,SK0038,90.0,required
3,AI01,DB012,85.0,required
4,AI01,CC008,85.0,required
5,AI01,CC009,85.0,required
6,AI01,SK0039,85.0,required
7,AI01,SK0040,85.0,required
8,AI01,CC010,75.0,required
9,AI01,CC011,75.0,required
10,AI01,SK0041,75.0,required
11,AI01,SK0042,75.0,required
12,AI01,DB014,70.0,required
13,AI01,CC010,70.0,required
14,AI01,SK0043,70.0,required
15,AI01,SK0044,70.0,required
16,AI01,CC015,80.0,required
17,AI01,SK0045,80.0,required
18,AI01,SK0046,80.0,required
19,AI01,CC019,70.0,required
20,AI01,SK0047,70.0,required
21,AI01,SK0048,70.0,required
22,DA01,CC001,70.0,required
23,DA01,SK0001,70.0,required
24,DA01,SK0002,70.0,required
25,DA01,CC002,65.0,required
26,DA01,SK0003,65.0,required
27,DA01,SK0004,65.0,required
28,DA01,DB005,70.0,required
29,DA01,CC003,70.0,required
30,DA01,CC004,70.0,required
31,DA01,SK0005,70.0,required
32,DA01,SK0006,70.0,required
33,DA01,CC005,65.0,required
34,DA01,SK0007,65.0,required
35,DA01,SK0008,65.0,required
36,DA01,DB010,60.0,required
37,DA01,CC021,60.0,required
38,DA01,SK0009,60.0,required
39,DA01,SK0010,60.0,required
40,DA01,CC022,60.0,required
41,DA01,SK0011,60.0,required
42,DA01,SK0012,60.0,required
43,DA02,CC001,80.0,required
44,DA02,SK0013,80.0,required
45,DA02,SK0014,80.0,required
46,DA02,SK0015,75.0,required
47,DA02,SK0016,75.0,required
48,DA02,DB006,80.0,required
49,DA02,CC003,80.0,required
50,DA02,CC004,80.0,required
51,DA02,SK0017,80.0,required
52,DA02,SK0018,80.0,required
53,DA02,SK0019,75.0,required
54,DA02,SK0020,75.0,required
55,DA02,CC006,70.0,required
56,DA02,SK0021,70.0,required
57,DA02,SK0022,70.0,required
58,DA02,SK0023,65.0,required
59,DA02,SK0024,65.0,required
60,DE01,CC001,80.0,required
61,DE01,CC014,75.0,required
62,DE01,CC012,70.0,required
63,DE01,CC013,70.0,required
64,DE01,SK0049,70.0,required
65,DE01,SK0050,70.0,required
66,DE01,SK0051,70.0,required
67,DE01,SK0052,70.0,required
68,DE01,SK0053,70.0,required
69,DE01,CC014,65.0,required
70,DE01,SK0054,65.0,required
71,DE01,SK0055,65.0,required
72,DE01,CC018,60.0,required
73,DE01,SK0056,60.0,required
74,DE01,SK0057,60.0,required
75,ML01,SK0025,85.0,required
76,ML01,SK0026,85.0,required
77,ML01,DB011,80.0,required
78,ML01,CC007,80.0,required
79,ML01,SK0027,80.0,required
80,ML01,SK0028,80.0,required
81,ML01,DB012,75.0,required
82,ML01,CC008,75.0,required
83,ML01,SK0029,75.0,required
84,ML01,SK0030,75.0,required
85,ML01,SK0031,75.0,required
86,ML01,SK0032,75.0,required
87,ML01,CC016,65.0,required
88,ML01,SK0033,65.0,required
89,ML01,SK0034,65.0,required
90,ML01,SK0035,80.0,required
91,ML01,SK0036,80.0,required
92,SWE01,CC020,80.0,required
93,SWE01,SK0058,80.0,required
94,SWE01,SK0059,80.0,required
95,SWE01,CC020,75.0,required
96,SWE01,CC023,75.0,required
97,SWE01,SK0060,75.0,required
98,SWE01,SK0061,75.0,required
99,SWE01,CC017,65.0,required
100,SWE01,SK0062,65.0,required
101,SWE01,SK0063,65.0,required
102,SWE01,SK0064,70.0,required
103,SWE01,SK0065,70.0,required
104,SWE01,CC019,65.0,required
105,SWE01,SK0066,65.0,required
106,SWE01,SK0067,65.0,required
107,SWE01,SK0068,60.0,required
108,SWE01,SK0069,60.0,required
